Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Source
"dasar cina pelit gak mau berbagi sama orang pribumi",1,1,0,1,0,1,0,0,0,0,1,0,manual
"semua orang tionghoa itu rakus dan cuma mau cari untung aja",1,1,0,1,0,1,0,0,0,0,1,0,manual
"usir semua cina dari indonesia sekarang juga",1,1,0,1,0,1,0,0,0,0,0,1,manual
"china babi balik ke negara lo sendiri",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang tionghoa emang gak pernah mau baur sama pribumi",1,1,0,1,0,1,0,0,0,0,1,0,manual
"sipit maju melulu di negeri orang",1,1,0,1,0,1,0,0,0,0,1,0,manual
"cino lo ngapain ada di sini pergi aja balik tiongkok",1,1,0,1,0,1,0,0,0,0,0,1,manual
"semua masalah ekonomi gara gara cina yang nguasain semuanya",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang tionghoa emang licik dari sononya",1,1,0,1,0,1,0,0,0,0,1,0,manual
"cina mah emang gitu udah dari sananya serakah",1,1,0,1,0,1,0,0,0,0,1,0,manual
"bangsa cina gak punya perasaan semua maunya menang sendiri",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang arab itu brengsek semua mana ada yang baik",1,1,0,1,1,1,0,0,0,0,1,0,manual
"arab pendatang kok mau ngatur orang sini",1,1,0,1,1,1,0,0,0,0,1,0,manual
"orang india bau semua gak ada yang bersih",1,1,0,1,0,1,0,1,0,0,1,0,manual
"keling lo ngapain tinggal di sini",1,1,0,0,0,1,0,0,0,0,1,0,manual
"semua keling itu bau dan jorok",1,1,0,1,0,1,0,1,0,0,1,0,manual
"orang papua itu primitif semua belum beradab",1,1,0,1,0,1,0,0,0,0,1,0,manual
"hitam kulit keras kepala emang bawaan orang timur",1,1,0,1,0,1,0,1,0,0,1,0,manual
"orang negro itu memang biadab dari sananya",1,1,0,1,0,1,0,0,0,0,0,1,manual
"negro pergi dari sini lo gak diundang",1,1,0,0,0,1,0,0,0,0,0,1,manual
"dasar negro primitif",1,1,0,0,0,1,0,0,0,0,1,0,manual
"nigger get out of our country",1,1,0,0,0,1,0,0,0,0,0,1,manual
"all niggers are criminals and thugs",1,1,0,1,0,1,0,0,0,0,0,1,manual
"stupid nigger go back to africa",1,1,0,0,0,1,0,0,0,0,0,1,manual
"niggas are all the same lazy and dumb",1,1,0,1,0,1,0,0,0,0,0,1,manual
"fucking nigger ruining this neighborhood",1,1,0,0,0,1,0,0,0,0,0,1,manual
"n word people dont belong here",1,1,0,1,0,1,0,0,0,0,1,0,manual
"these n words are destroying society",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang kulit hitam emang pada bodoh semua",1,1,0,1,0,1,0,0,0,0,0,1,manual
"ras negro gak punya peradaban tinggi",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang hitam mah dari sononya kriminal",1,1,0,1,0,1,0,0,0,0,0,1,manual
"jawa itu emang gak punya hati semua halus di luar brengsek di dalam",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang sunda tuh cupu dan malu-maluin",1,1,0,1,0,1,0,0,0,0,1,0,manual
"batak emang keras kepala dan kasar dari sononya",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang madura bau dan kotor semua",1,1,0,1,0,1,0,1,0,0,1,0,manual
"madura tukang mabok dan tukang ribut",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang ambon itu preman semua gak ada yang baik",1,1,0,1,0,1,0,0,0,0,1,0,manual
"dayak masih kanibal sampai sekarang",1,1,0,1,0,1,0,0,0,0,1,0,manual
"suku bugis emang biadab suka bikin onar",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang flores itu bodoh dan terbelakang",1,1,0,1,0,1,0,0,0,0,1,0,manual
"semua orang padang pelit gak mau rugi",1,1,0,1,0,1,0,0,0,0,1,0,manual
"minang itu licik dan gak bisa dipercaya",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang sulawesi semua brutal dan keras",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang ntt memang miskin dan bodoh",1,1,0,1,0,1,0,0,0,0,1,0,manual
"dasar pribumi gak bisa apa-apa",1,1,0,1,0,1,0,0,0,0,1,0,manual
"asli indonesia itu malas semua minta-minta melulu",1,1,0,1,0,1,0,0,0,0,1,0,manual
"kulit hitam itu tanda kebodohan",1,1,0,1,0,1,0,1,0,0,0,1,manual
"orang bule lebih pintar dari pribumi",1,1,0,0,0,1,0,0,0,0,1,0,manual
"semua warga asing lebih beradab dari orang lokal sini",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang melayu itu pemalas dari sononya",1,1,0,1,0,1,0,0,0,0,1,0,manual
"dasar cina lo ngomong apa sih gak ada gunanya",1,1,0,0,0,1,0,0,0,0,1,0,manual
"chinese people are taking over everything we must stop them",1,1,0,1,0,1,0,0,0,0,0,1,manual
"typical chinese behavior greedy and dishonest",1,1,0,1,0,1,0,0,0,0,1,0,manual
"these chinese immigrants are ruining our economy",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang tionghoa tidak layak jadi warga negara indonesia",1,1,0,1,0,1,0,0,0,0,0,1,manual
"semua etnis cina harus diusir dari nusantara",1,1,0,1,0,1,0,0,0,0,0,1,manual
"tionghoa itu bangsa pengkhianat yang tidak pernah loyal",1,1,0,1,0,1,0,0,0,0,0,1,manual
"habis manis sepah dibuang itulah sifat asli orang cina",1,1,0,1,0,1,0,0,0,0,1,0,manual
"ras arya lebih unggul dari ras lain",1,1,0,1,0,1,0,0,0,0,0,1,manual
"white race is the master race all others are inferior",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang kulit putih memang lebih superior",1,1,0,1,0,1,0,0,0,0,0,1,manual
"white power we must preserve our race",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang keturunan asing tidak berhak ada di tanah ini",1,1,0,1,0,1,0,0,0,0,0,1,manual
"semua bule itu sombong dan merasa superior",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang korea itu palsu semua operasi plastik",1,1,0,1,0,1,0,1,0,0,1,0,manual
"semua orang jepang itu dingin dan tidak punya perasaan",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang vietnam itu pencuri semua",1,1,0,1,0,1,0,0,0,0,1,0,manual
"imigran itu perusak bangsa harus diusir",1,1,0,1,0,1,0,0,0,0,0,1,manual
"pendatang asing itu sampah yang mencemari bangsa kita",1,1,0,1,0,1,0,0,0,0,0,1,manual
"blacks are genetically inferior to whites",1,1,0,1,0,1,0,0,0,0,0,1,manual
"studies show black people have lower iq its just facts",1,1,0,1,0,1,0,0,0,0,0,1,manual
"crime goes up wherever black people move in statistics dont lie",1,1,0,1,0,1,0,0,0,0,0,1,manual
"go back to your own country foreigner",1,1,0,0,0,1,0,0,0,0,1,0,manual
"your kind doesnt belong here",1,1,0,0,0,1,0,0,0,0,1,0,manual
"immigrants are invading our country",1,1,0,1,0,1,0,0,0,0,0,1,manual
"these people come here and take our jobs",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang asing merebut lapangan kerja orang pribumi",1,1,0,1,0,1,0,0,0,0,1,0,manual
"nigg4 should not be allowed to vote",1,1,0,1,0,1,0,0,0,0,0,1,manual
"n1gger always causing trouble",1,1,0,1,0,1,0,0,0,0,0,1,manual
"nig*er you dont belong in this city",1,1,0,0,0,1,0,0,0,0,0,1,manual
"those ching chong people are destroying our culture",1,1,0,1,0,1,0,0,0,0,0,1,manual
"chink go back to china",1,1,0,0,0,1,0,0,0,0,0,1,manual
"zipperhead cant drive for shit",1,1,0,0,0,1,0,0,0,0,1,0,manual
"gook shouldnt be here",1,1,0,0,0,1,0,0,0,0,1,0,manual
"towelhead terrorist go back to your desert",1,1,0,0,0,1,1,0,0,0,0,1,manual
"sand n*gger bombing everything",1,1,0,1,0,1,1,0,0,0,0,1,manual
"dot head indian smells like curry",1,1,0,0,0,1,0,1,0,0,1,0,manual
"beaner crossing the border again",1,1,0,0,0,1,0,0,0,0,1,0,manual
"wetback stealing american jobs",1,1,0,0,0,1,0,0,0,0,0,1,manual
"orang cina itu bangsa benalu yang menghisap kekayaan indonesia",1,1,0,1,0,1,0,0,0,0,0,1,manual
"keturunan cina tidak punya rasa cinta tanah air",1,1,0,1,0,1,0,0,0,0,0,1,manual
"etnis tionghoa hanya mau untung tidak mau rugi",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang papua itu masih hidup di zaman batu",1,1,0,1,0,1,0,0,0,0,1,0,manual
"penduduk asli papua itu bodoh dan tidak bisa diajak maju",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang maluku itu preman semua suka mabuk",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang aceh itu fanatik dan tidak toleran",1,1,0,1,1,1,0,0,0,0,1,0,manual
"dasar pribumi bego gak ada yang becus",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang jawa itu penakut dan tidak tegas",1,1,0,1,0,1,0,0,0,0,1,0,manual
"suku batak kasar dan tidak beradab",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang tionghoa itu bukan bagian dari bangsa indonesia sejati",1,1,0,1,0,1,0,0,0,0,0,1,manual
"non pribumi harus tahu diri di negeri ini",1,1,0,1,0,1,0,0,0,0,1,0,manual
"etnis minoritas jangan coba-coba ambil alih negara ini",1,1,0,1,0,1,0,0,0,0,0,1,manual
"hari ini saya bertemu teman baru dari Tionghoa namanya sangat ramah",0,0,0,0,0,0,0,0,0,0,0,0,manual
"perayaan imlek adalah tradisi budaya yang indah dan beragam",0,0,0,0,0,0,0,0,0,0,0,0,manual
"keberagaman etnis di indonesia adalah kekayaan yang harus dijaga",0,0,0,0,0,0,0,0,0,0,0,0,manual
"orang dari berbagai suku dapat bekerja sama dengan baik",0,0,0,0,0,0,0,0,0,0,0,0,manual
"budaya batak memiliki kekayaan tradisi yang luar biasa",0,0,0,0,0,0,0,0,0,0,0,0,manual
"orang tionghoa indonesia sudah berkontribusi besar bagi bangsa",0,0,0,0,0,0,0,0,0,0,0,0,manual
"saya bangga indonesia memiliki banyak suku dan budaya",0,0,0,0,0,0,0,0,0,0,0,0,manual
"teman saya dari papua sangat cerdas dan berprestasi",0,0,0,0,0,0,0,0,0,0,0,0,manual
"kita harus menghormati perbedaan ras dan suku di indonesia",0,0,0,0,0,0,0,0,0,0,0,0,manual
"budaya jawa sangat kaya akan filosofi dan seni",0,0,0,0,0,0,0,0,0,0,0,0,manual
"kesenian sunda seperti angklung diakui dunia internasional",0,0,0,0,0,0,0,0,0,0,0,0,manual
"masyarakat dayak memiliki kearifan lokal yang sangat berharga",0,0,0,0,0,0,0,0,0,0,0,0,manual
"perbedaan suku bangsa bukan alasan untuk saling merendahkan",0,0,0,0,0,0,0,0,0,0,0,0,manual
"bhinneka tunggal ika adalah semboyan yang harus kita jaga bersama",0,0,0,0,0,0,0,0,0,0,0,0,manual
"I have many good friends from different racial backgrounds",0,0,0,0,0,0,0,0,0,0,0,0,manual
"diversity makes our country stronger and more resilient",0,0,0,0,0,0,0,0,0,0,0,0,manual
"chinese new year is a beautiful cultural celebration",0,0,0,0,0,0,0,0,0,0,0,0,manual
"we should embrace people from all ethnic backgrounds",0,0,0,0,0,0,0,0,0,0,0,0,manual
"racial equality is something we must all strive for",0,0,0,0,0,0,0,0,0,0,0,0,manual
"black history month celebrates important contributions to our society",0,0,0,0,0,0,0,0,0,0,0,0,manual
"learning about different cultures makes us more empathetic",0,0,0,0,0,0,0,0,0,0,0,0,manual
"everyone deserves equal respect regardless of their race or ethnicity",0,0,0,0,0,0,0,0,0,0,0,0,manual
"the civil rights movement was an important part of american history",0,0,0,0,0,0,0,0,0,0,0,0,manual
"interracial friendships and relationships should be celebrated",0,0,0,0,0,0,0,0,0,0,0,0,manual
"ethnic discrimination has no place in modern society",0,0,0,0,0,0,0,0,0,0,0,0,manual
"multiculturalism enriches our society in many ways",0,0,0,0,0,0,0,0,0,0,0,0,manual
"orang dari latar belakang ras yang berbeda bisa hidup berdampingan",0,0,0,0,0,0,0,0,0,0,0,0,manual
"saya tidak peduli apa sukumu yang penting kamu baik hati",0,0,0,0,0,0,0,0,0,0,0,0,manual
"toleransi antar suku dan ras adalah kunci kerukunan nasional",0,0,0,0,0,0,0,0,0,0,0,0,manual
"teman tionghoa saya sangat baik dan murah hati",0,0,0,0,0,0,0,0,0,0,0,0,manual
"budaya arab turut memperkaya peradaban nusantara",0,0,0,0,0,0,0,0,0,0,0,0,manual
"orang india yang tinggal di indonesia banyak yang berprestasi",0,0,0,0,0,0,0,0,0,0,0,0,manual
"saya kagum dengan kekayaan budaya suku dayak kalimantan",0,0,0,0,0,0,0,0,0,0,0,0,manual
"wayang adalah warisan budaya jawa yang mendunia",0,0,0,0,0,0,0,0,0,0,0,0,manual
"tari saman dari aceh adalah warisan budaya yang membanggakan",0,0,0,0,0,0,0,0,0,0,0,0,manual
"masyarakat papua terus berkembang dan berinovasi",0,0,0,0,0,0,0,0,0,0,0,0,manual
"keberagaman indonesia adalah anugerah yang harus disyukuri",0,0,0,0,0,0,0,0,0,0,0,0,manual
"perbedaan warna kulit tidak menentukan kecerdasan seseorang",0,0,0,0,0,0,0,0,0,0,0,0,manual
"rasisme adalah kejahatan terhadap kemanusiaan yang harus dilawan",0,0,0,0,0,0,0,0,0,0,0,0,manual
"semua manusia setara tanpa memandang ras atau suku",0,0,0,0,0,0,0,0,0,0,0,0,manual
"hentikan diskriminasi rasial sekarang juga",0,0,0,0,0,0,0,0,0,0,0,0,manual
"saya menentang segala bentuk rasisime dan intoleransi",0,0,0,0,0,0,0,0,0,0,0,0,manual
"festival budaya tionghoa Indonesia selalu meriah dan indah",0,0,0,0,0,0,0,0,0,0,0,0,manual
"Indonesia kuat karena keberagaman etnis dan budayanya",0,0,0,0,0,0,0,0,0,0,0,0,manual
"anak-anak dari berbagai suku belajar bersama dengan harmonis",0,0,0,0,0,0,0,0,0,0,0,0,manual
"sepupuku orang batak dan ia adalah orang yang paling baik yang aku kenal",0,0,0,0,0,0,0,0,0,0,0,0,manual
"jangan menghakimi seseorang dari sukunya tapi dari karakternya",0,0,0,0,0,0,0,0,0,0,0,0,manual
"orang tionghoa bukan pendatang mereka sudah lama jadi bagian dari indonesia",0,0,0,0,0,0,0,0,0,0,0,0,manual
"stop racism start loving each other",0,0,0,0,0,0,0,0,0,0,0,0,manual
"we are all human beings first before any racial label",0,0,0,0,0,0,0,0,0,0,0,0,manual
"racial profiling by police is unjust and must be stopped",0,0,0,0,0,0,0,0,0,0,0,0,manual
"martin luther king fought for equality and justice for all",0,0,0,0,0,0,0,0,0,0,0,0,manual
"systemic racism is a real problem that needs to be addressed",0,0,0,0,0,0,0,0,0,0,0,0,manual
"we condemn all forms of racial discrimination",0,0,0,0,0,0,0,0,0,0,0,0,manual
"anti-asian hate crimes are increasing and that is deeply troubling",0,0,0,0,0,0,0,0,0,0,0,0,manual
"black lives matter is an important movement for racial justice",0,0,0,0,0,0,0,0,0,0,0,0,manual
"we stand in solidarity with all marginalized racial communities",0,0,0,0,0,0,0,0,0,0,0,0,manual
"no human being should be judged by the color of their skin",0,0,0,0,0,0,0,0,0,0,0,0,manual
"education about racism is key to building an equitable society",0,0,0,0,0,0,0,0,0,0,0,0,manual
"dasar n*gg*r lo pergi dari sini",1,1,0,0,0,1,0,0,0,0,0,1,manual
"eh cina lo ngapain masih disini",1,1,0,0,0,1,0,0,0,0,1,0,manual
"n1gg4 always thiefing",1,1,0,1,0,1,0,0,0,0,0,1,manual
"ch*nk cant do anything right",1,1,0,0,0,1,0,0,0,0,1,0,manual
"all nig**rs are the same",1,1,0,1,0,1,0,0,0,0,0,1,manual
"negro bau pergi sana",1,1,0,0,0,1,0,1,0,0,1,0,manual
"orang hitam kyk lo gak pantes ada sini",1,1,0,0,0,1,0,1,0,0,1,0,manual
"cino lo udah mau apa lagi di tanah orang",1,1,0,0,0,1,0,0,0,0,1,0,manual
"negro itu emang otaknya kecil",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang kulit hitam emang gitu bawaan lahir biadab",1,1,0,1,0,1,0,0,0,0,0,1,manual
"kaum negro tidak punya peradaban",1,1,0,1,0,1,0,0,0,0,0,1,manual
"ras inferior dari africa tidak bisa disamakan dengan kita",1,1,0,1,0,1,0,0,0,0,0,1,manual
"black people are a burden on society",1,1,0,1,0,1,0,0,0,0,0,1,manual
"africa is a sh*thole because of the people there",1,1,0,1,0,1,0,0,0,0,0,1,manual
"these brown people are ruining western civilization",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang timur tengah semuanya teroris",1,1,0,1,1,1,0,0,0,0,0,1,manual
"semua muslim dari timur tengah membawa kekerasan",1,1,0,1,1,1,0,0,0,0,0,1,manual
"orang arab tidak bisa hidup damai di mana-mana",1,1,0,1,1,1,0,0,0,0,1,0,manual
"usir semua pendatang dari timur tengah",1,1,0,1,1,1,0,0,0,0,0,1,manual
"bangsa melayu terlalu lembek dan pengecut",1,1,0,1,0,1,0,0,0,0,1,0,manual
"ras non-eropa itu tidak bisa memimpin",1,1,0,1,0,1,0,0,0,0,0,1,manual
"kaum kulit putih paling layak memimpin dunia",1,1,0,1,0,1,0,0,0,0,0,1,manual
"darah biru kulit putih adalah tanda kemuliaan",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang asia itu robot semua tidak kreatif",1,1,0,1,0,1,0,0,0,0,1,0,manual
"semua orang asia tidak bisa menyetir dengan benar",1,1,0,1,0,1,0,0,0,0,1,0,manual
"asian people are sneaky and untrustworthy",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang korea dan jepang itu tidak bisa dipercaya",1,1,0,1,0,1,0,0,0,0,1,0,manual
"stop asian hate kita harus melindungi komunitas asia",0,0,0,0,0,0,0,0,0,0,0,0,manual
"diskriminasi ras adalah pelanggaran HAM yang serius",0,0,0,0,0,0,0,0,0,0,0,0,manual
"indonesia adalah negara multirasial yang kita banggakan",0,0,0,0,0,0,0,0,0,0,0,0,manual
"kita harus bersatu melawan rasisme di mana pun",0,0,0,0,0,0,0,0,0,0,0,0,manual
"budaya tionghoa indonesia sudah berpadu dengan budaya lokal selama berabad-abad",0,0,0,0,0,0,0,0,0,0,0,0,manual
"keturunan arab banyak yang berkontribusi dalam dakwah dan pendidikan di indonesia",0,0,0,0,0,0,0,0,0,0,0,0,manual
"festival budaya papua sangat memukau dan kaya makna",0,0,0,0,0,0,0,0,0,0,0,0,manual
"Indonesia adalah contoh nyata harmoni antar etnis bagi dunia",0,0,0,0,0,0,0,0,0,0,0,0,manual
"kami menolak segala ujaran kebencian berbasis ras dan suku",0,0,0,0,0,0,0,0,0,0,0,0,manual
"perbedaan ras tidak menentukan nilai seseorang sebagai manusia",0,0,0,0,0,0,0,0,0,0,0,0,manual
"affirmative action helps level the playing field for marginalized races",0,0,0,0,0,0,0,0,0,0,0,0,manual
"we must acknowledge the history of racism to overcome it",0,0,0,0,0,0,0,0,0,0,0,0,manual
"people of all races can achieve great things with opportunity",0,0,0,0,0,0,0,0,0,0,0,0,manual
"representation matters for all racial and ethnic communities",0,0,0,0,0,0,0,0,0,0,0,0,manual
"celebrating our differences is what makes us stronger",0,0,0,0,0,0,0,0,0,0,0,0,manual
"hate speech targeting any race or ethnicity is unacceptable",0,0,0,0,0,0,0,0,0,0,0,0,manual
"racial harmony begins with understanding and empathy",0,0,0,0,0,0,0,0,0,0,0,0,manual
"orang tionghoa juga bisa menjadi pejuang dan patriot indonesia",0,0,0,0,0,0,0,0,0,0,0,0,manual
"kebersamaan antar etnis menciptakan indonesia yang lebih kuat",0,0,0,0,0,0,0,0,0,0,0,0,manual
"mari kita hormati setiap suku dan ras yang ada di indonesia",0,0,0,0,0,0,0,0,0,0,0,0,manual
